Headline,URL
Skip to content,#main-content
British Broadcasting Corporation,/
Watch,/watch-live-news
Home,/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
Africa,/news/world/africa
Asia,/news/world/asia
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Home,/home
News,/news
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
UK Politics,/news/politics
England,/news/england
N. Ireland,/news/northern_ireland
N. Ireland Politics,/news/northern_ireland/northern_ireland_politics
Scotland,/news/scotland
Scotland Politics,/news/scotland/scotland_politics
Wales,/news/wales
Wales Politics,/news/wales/wales_politics
Africa,/news/world/africa
Asia,/news/world/asia
China,/news/world/asia/china
India,/news/world/asia/india
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Sport,/sport
Business,/business
Future of Business,/business/future-of-business
Technology of Business,/business/technology-of-business
Work Culture,/business/c-suite
Innovation,/innovation
Technology,/innovation/technology
Science & Health,/innovation/science
Artificial Intelligence,/innovation/artificial-intelligence
Culture,/culture
Film & TV,/culture/film-tv
Music,/culture/music
Art & Design,/culture/art
Style,/culture/style
Books,/culture/books
Entertainment News,/culture/entertainment-news
Travel,/travel
Destinations,/travel/destinations
Africa,/travel/destinations/africa
Antarctica,/travel/destinations/antarctica
Asia,/travel/destinations/asia
Australia and Pacific,/travel/destinations/australia-and-pacific
Caribbean & Bermuda,/travel/destinations/caribbean
Central America,/travel/destinations/central-america
Europe,/travel/destinations/europe
Middle East,/travel/destinations/middle-east
North America,/travel/destinations/north-america
South America,/travel/destinations/south-america
World’s Table,/travel/worlds-table
Culture & Experiences,/travel/cultural-experiences
Adventures,/travel/adventures
The SpeciaList,/travel/specialist
Earth,/future-planet
Natural Wonders,/future-planet/natural-wonders
Weather & Science,/future-planet/weather-science
Climate Solutions,/future-planet/solutions
Sustainable Business,/future-planet/sustainable-business
Green Living,/future-planet/green-living
Video,/video
Live,/live
Live News,/live/news
Live Sport,/live/sport
Home,/
Sport,/sport
Video,/video
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
"UN Security Council backs US Israel-Gaza ceasefire planThe proposal sets out conditions for a ""complete ceasefire"" and the release of hostages held by Hamas.1 hr agoMiddle East",/news/articles/cw448x7lxggo
UN Security Council backs US Israel-Gaza ceasefire plan,
"Netanyahu walks tightrope as US urges Gaza ceasefire dealSecretary of State Blinken's Middle East mission collides with Israeli politics, Jeremy Bowen says.15 hrs agoWorld",/news/articles/c511vl9yjwwo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,
Huge apartment fire in Miami fills sky with smokeFirefighters in Miami responded to one of the largest residential fires the city has seen in decades.13 hrs agoUS & Canada,/news/videos/c722ke42krgo
Huge apartment fire in Miami fills sky with smoke,
Jury begins deliberating in historic Hunter Biden caseThe fate of the US president's son now lies in the hands of 12 jurors in Delaware.8 hrs agoUS & Canada,/news/articles/cldd97ql25do
Jury begins deliberating in historic Hunter Biden case,
"Fire at famous Bangkok market kills 1,000 animals The blaze at Thailand's famous Chatuchak market kills dogs, birds, snakes and cats. 15 mins agoAsia",/news/articles/cw44gm303wro
"Fire at famous Bangkok market kills 1,000 animals",
"Netanyahu walks tightrope as US urges Gaza ceasefire dealSecretary of State Blinken's Middle East mission collides with Israeli politics, Jeremy Bowen says.15 hrs agoWorld",/news/articles/c511vl9yjwwo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,
"Four US college instructors stabbed in public park in ChinaThe instructors were on a daytime visit to a public park when they were attacked, Cornell College says. 53 mins agoAsia",/news/articles/c844q27v732o
Four US college instructors stabbed in public park in China,
Warning shots from South as NK soldiers cross borderThe incident at the DMZ comes at a time of heightened tensions between the two Koreas.3 hrs agoAsia,/news/articles/c511ve3051po
Warning shots from South as NK soldiers cross border,
Apple brings ChatGPT to iPhones in AI overhaulThe company has been slower to roll out generative AI features than rivals including Google and Microsoft.11 hrs agoTechnology,/news/articles/c4nn5mejl89o
Apple brings ChatGPT to iPhones in AI overhaul,
Huge apartment fire in Miami fills sky with smokeFirefighters in Miami responded to one of the largest residential fires the city has seen in decades.13 hrs agoUS & Canada,/news/videos/c722ke42krgo
Huge apartment fire in Miami fills sky with smoke,
Aircraft carrying Malawi vice-president goes missing7 hrs agoAfrica,/news/articles/c4nn0zkq79ko
Aircraft carrying Malawi vice-president goes missing,
Eight more die as India faces longest heatwave3 hrs agoAsia,/news/articles/cz77jkk420lo
Eight more die as India faces longest heatwave,
Baltimore shipping channel reopens after bridge collapse6 hrs agoUS & Canada,/news/articles/cnkk2d1ezzyo
Baltimore shipping channel reopens after bridge collapse,
Singapore Airlines turbulence victims offered payouts2 hrs agoBusiness,/news/articles/cpwwy3wq5p6o
Singapore Airlines turbulence victims offered payouts,
US civil rights hero James Lawson dies at 958 hrs agoUS & Canada,/news/articles/cw00w25x2pko
US civil rights hero James Lawson dies at 95,
Features & analysis,
Five ways Michael Mosley made us healthierMichael Mosley’s simple and accessible health hacks made him a household name.  Remember these?9 hrs agoHealth,/news/articles/c1wwv0405wyo
Five ways Michael Mosley made us healthier,
"Drugs, alcohol and a gun: Inside Hunter Biden's trialThe BBC's Bernd Debusmann Jr reports from court on what's at stake for the US president's son.15 hrs agoUS & Canada",/news/videos/c7221r0v5q7o
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",
Why voters fall out of love with liberation movementsThe ANC's loss of a majority in South Africa mirrors that of other liberation parties on the continent.9 hrs agoAfrica,/news/articles/c166zlx6354o
Why voters fall out of love with liberation movements,
Widow of IS leader reveals details of their life togetherUmm Hudaifa - widow of IS leader Abu Bakr al-Baghdadi - says she tried to leave him but couldn’t.1 day agoMiddle East,/news/articles/clkkldnj9djo
Widow of IS leader reveals details of their life together,
"How Gaza hostage raid ended with  Israel striking crowded streetsAir strikes were called in after special forces became trapped, killing scores of Palestinians.16 hrs agoMiddle East",/news/articles/cv22xvp90nlo
How Gaza hostage raid ended with  Israel striking crowded streets,
"Drugs, alcohol and a gun: Inside Hunter Biden's trialThe BBC's Bernd Debusmann Jr reports from court on what's at stake for the US president's son.15 hrs agoUS & Canada",/news/videos/c7221r0v5q7o
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",
Hardliners dominate Iran presidential candidatesHardliners look set to hold on to the presidency after Ebrahim Raisi's death in a helicopter crash.16 hrs agoMiddle East,/news/articles/cy66y5xgjqgo
Hardliners dominate Iran presidential candidates,
Why the EU might be about to make Chinese electric cars more expensiveBrussels is widely expected to introduce tariffs on Chinese electric vehicles coming to Europe.10 hrs agoAsia,/news/articles/cpww6w412n7o
Why the EU might be about to make Chinese electric cars more expensive,
Why voters fall out of love with liberation movementsThe ANC's loss of a majority in South Africa mirrors that of other liberation parties on the continent.9 hrs agoAfrica,/news/articles/c166zlx6354o
Why voters fall out of love with liberation movements,
Most watched,
1Stranded surfer rescued after spelling out 'HELP',/news/videos/cw00n8ljq97o
Stranded surfer rescued after spelling out 'HELP',
2Huge apartment fire in Miami fills sky with smoke,/news/videos/c722ke42krgo
Huge apartment fire in Miami fills sky with smoke,
"3Drugs, alcohol and a gun: Inside Hunter Biden's trial",/news/videos/c7221r0v5q7o
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",
4Bristol ninja athlete eyes competition glory in Europe,/news/videos/cx004x3w782o
Bristol ninja athlete eyes competition glory in Europe,
5Rodeo bull escapes and hurls bystander into the air,/news/videos/cw991neypvjo
Rodeo bull escapes and hurls bystander into the air,
Also in news,
"Trump has interview with New York probation officerThe ex-president appeared virtually for under half an hour from Mar-a-Lago, joined by his lawyer.9 hrs agoUS & Canada",/news/articles/c988pvr7w14o
Trump has interview with New York probation officer,
"Thirty-nine die after boat capsizes off Yemen - officialsThe search continues for 150 people who are still missing, officials say.15 mins agoWorld",/news/articles/cv22nqq9yv1o
Thirty-nine die after boat capsizes off Yemen - officials,
Stranded surfer rescued after spelling out 'HELP'A private helicopter pilot spotted the word spelled out with rocks and alerted the authorities.12 hrs agoUS & Canada,/news/videos/cw00n8ljq97o
Stranded surfer rescued after spelling out 'HELP',
BMW China parts probe expanded by US Senate panelThe Senate Finance Committee wants answers from BMW over its use of banned Chinese components by 21 June.3 hrs agoBusiness,/news/articles/crgg7p95jdgo
BMW China parts probe expanded by US Senate panel,
Wildfires threaten unique Brazil ecosystemThe number of fire outbreaks so far this year is 10 times that in the same period in 2023. 22 hrs agoLatin America,/news/articles/crgg7rnlrylo
Wildfires threaten unique Brazil ecosystem,
"Thirty-nine die after boat capsizes off Yemen - officialsThe search continues for 150 people who are still missing, officials say.15 mins agoWorld",/news/articles/cv22nqq9yv1o
Thirty-nine die after boat capsizes off Yemen - officials,
"Macron snap election leaves rivals stunned after EU voteFinance Minister Bruno Le Maire said the vote could have ""serious consequences"" for France.17 hrs agoEurope",/news/articles/cv22jkmldlxo
Macron snap election leaves rivals stunned after EU vote,
"Nigeria gunmen kill at least 25 in village raid, officials sayDozens of gunmen on motorbikes stormed a village in the Kankara area on Sunday, the BBC has been told.3 hrs agoAfrica",/news/articles/c988p3elxgyo
"Nigeria gunmen kill at least 25 in village raid, officials say",
Stranded surfer rescued after spelling out 'HELP'A private helicopter pilot spotted the word spelled out with rocks and alerted the authorities.12 hrs agoUS & Canada,/news/videos/cw00n8ljq97o
Stranded surfer rescued after spelling out 'HELP',
Most read,
1Four US college instructors stabbed in public park in China,/news/articles/c844q27v732o
Four US college instructors stabbed in public park in China,
2Warning shots from South as NK soldiers cross border,/news/articles/c511ve3051po
Warning shots from South as NK soldiers cross border,
3UN Security Council backs US Israel-Gaza ceasefire plan,/news/articles/cw448x7lxggo
UN Security Council backs US Israel-Gaza ceasefire plan,
4Apple brings ChatGPT to iPhones in AI overhaul,/news/articles/c4nn5mejl89o
Apple brings ChatGPT to iPhones in AI overhaul,
5Five ways Michael Mosley made us healthier,/news/articles/c1wwv0405wyo
Five ways Michael Mosley made us healthier,
6Singapore Airlines turbulence victims offered payouts,/news/articles/cpwwy3wq5p6o
Singapore Airlines turbulence victims offered payouts,
"7Fire at famous Bangkok market kills 1,000 animals",/news/articles/cw44gm303wro
"Fire at famous Bangkok market kills 1,000 animals",
8Baltimore shipping channel reopens after bridge collapse,/news/articles/cnkk2d1ezzyo
Baltimore shipping channel reopens after bridge collapse,
9Aircraft carrying Malawi vice-president goes missing,/news/articles/c4nn0zkq79ko
Aircraft carrying Malawi vice-president goes missing,
10Netanyahu walks tightrope as US urges Gaza ceasefire deal,/news/articles/c511vl9yjwwo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,
Sport,
"LIVEEuro 2024 build-up: England arrive and Scotland prepare for Friday's openerBuild-up to Euro 2024 as England arrive in Germany while Scotland train again before their opener with Germany on Friday, plus the latest football and transfer news.",https://www.bbc.com/sport/football/live/cjrrlyp4wj9t
Euro 2024 build-up: England arrive and Scotland prepare for Friday's opener,
From water carrier to serial winner - Deschamps seeks more historyFrance boss Didier Deschamps won the World Cup as a player and manager and now he is aiming to achieve the same feat in the European Championship.21 mins agoFrance,/sport/football/articles/cedd2k0pl20o
From water carrier to serial winner - Deschamps seeks more history,
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red BullBBC F1 correspondent Andrew Benson answers your questions following the Canadian Grand Prix.1 hr agoFormula 1,/sport/formula1/articles/cz99q58lmvro
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red Bull,
Brazil Paralympian selected for Paris OlympicsTable tennis player Bruna Alexandre is set to become the first Brazilian to play at both the Olympics and Paralympics.2 hrs agoSport,/sport/articles/cd11e3dnjqxo
Brazil Paralympian selected for Paris Olympics,
SA on brink of Super 8s with tense win over BangladeshSouth Africa claim a nervy four-run win over Bangladesh that puts them on brink of reaching the T20 World Cup Super 8s.14 hrs agoCricket,/sport/cricket/articles/c2ll9ne7e9zo
SA on brink of Super 8s with tense win over Bangladesh,
From water carrier to serial winner - Deschamps seeks more historyFrance boss Didier Deschamps won the World Cup as a player and manager and now he is aiming to achieve the same feat in the European Championship.21 mins agoFrance,/sport/football/articles/cedd2k0pl20o
From water carrier to serial winner - Deschamps seeks more history,
"Burrow gave MND community a voice - ex-rugby pro SlaterFormer Gloucester and Leicester lock Ed Slater says ""thank you"" to Rob Burrow for giving a voice to him and others with motor neurone disease.3 hrs agoRugby Union",/sport/articles/c4nnlppej1eo
Burrow gave MND community a voice - ex-rugby pro Slater,
"'Winning these Euros not just down to having the best players'Former England goalkeeper Joe Hart, who will be a BBC pundit at Euro 2024, on his new role and why England can go all the way.4 hrs agoEuropean Championship",/sport/football/articles/ce99xp9qyw0o
'Winning these Euros not just down to having the best players',
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red BullBBC F1 correspondent Andrew Benson answers your questions following the Canadian Grand Prix.1 hr agoFormula 1,/sport/formula1/articles/cz99q58lmvro
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red Bull,
British Broadcasting Corporation,/
Home,https://www.bbc.com/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
